age,citizen,unit,sex,geo\time	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 
Y16,NAT,NR,T,NL	348 	368 	363 	338 	397 b	419 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,NAT,NR,T,NO	86 	70 	91 	132 	81 	62 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,NAT,NR,T,PL	772 	822 	566 	424 	359 b	107 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,NAT,NR,T,PT	221 	118 	247 	213 	199 	65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,NAT,NR,T,RO	608 	883 	725 	547 	594 	847 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,NAT,NR,T,SE	216 	175 	197 	199 	216 	197 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,NAT,NR,T,SI	6 	8 	16 	11 	16 	13 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,NAT,NR,T,SK	: 	: b	8 b	8 	6 	12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,NAT,NR,T,UK	836 	640 	492 	1028 	670 	726 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,AT	368 	321 	278 	242 	261 	288 	320 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,BE	546 	688 	658 	640 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,BG	38 p	27 bp	: 	: 	: 	8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,CH	600 	570 	540 b	689 	650 	739 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,CY	25 	99 	70 	230 	86 	30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,CZ	68 	89 	95 	133 	166 	173 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,DE	2632 	2332 	1919 	1676 	1472 b	2266 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,DK	225 	254 	242 	292 	232 	257 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,EE	8 	4 	11 	6 	11 	8 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,EL	212 	212 	220 	196 	230 	264 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,ES	1651 	1766 	2142 	2053 	2500 	3661 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,FI	103 	136 	125 	103 	138 	82 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,FR	1268 	1745 	1364 	1426 b	1245 	1228 	1072 	1350 b	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,HR	38 	28 	50 b	: 	: 	77 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,HU	124 	119 	107 	121 b	105 	146 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,IE	124 p	176 	267 	244 	370 	266 	555 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,IS	44 	24 	21 	18 	22 b	39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,IT	1263 	1439 	1634 	1860 	2188 p	2627 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,LI	2 	3 	3 	2 	3 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,LT	32 	26 	14 	6 	24 	31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,LU	66 	73 	69 	55 	50 	40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,LV	7 	3 	9 b	20 	15 	20 	23 	57 	30 	20 	18 	57 	25 	28 	: 	: 
Y16,TOTAL,NR,F,ME	: 	14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,MK	: 	1 	3 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,MT	20 	17 	22 	28 	14 	11 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,NL	492 	469 	470 	478 	467 b	474 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,NO	293 	286 	300 	286 	253 	198 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,PL	612 	624 	448 	379 	367 b	107 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,PT	148 	95 	131 	197 	231 	212 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,RO	453 	538 	500 	424 	378 	431 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,SE	916 	659 	537 	543 	652 	555 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,SI	55 	47 	51 	43 	58 	56 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,SK	: 	: b	3 b	29 	48 	48 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,F,UK	1474 	2093 	2033 	2143 	1790 	3771 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,AT	515 	580 	428 	344 	468 	442 	404 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,BE	546 	1105 	879 	790 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,BG	56 p	50 bp	: 	: 	: 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,CH	636 	587 	531 b	667 	657 	749 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,CY	0 	46 	85 	240 	28 	55 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,CZ	87 	104 	73 	132 	188 	177 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,DE	3789 	3190 	2598 	2349 	1849 b	2462 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,DK	278 	251 	252 	244 	252 	245 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,EE	13 	7 	8 	13 	5 	9 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,EL	252 	253 	261 	295 	321 	489 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,ES	1975 	2172 	2518 	2564 	3118 	4498 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,FI	145 	136 	120 	116 	122 	137 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,FR	1922 	2019 	1810 	1571 b	1548 	1399 	1354 	1480 b	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,HR	53 	46 	52 b	: 	: 	74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,HU	125 	122 	77 	111 b	88 	141 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,IE	228 p	182 	121 	154 	319 	769 	728 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,IS	37 	28 	24 	24 	22 b	42 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,IT	1690 	1878 	1927 	2460 	2792 p	3231 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,LI	0 	5 	3 	0 	3 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,LT	32 	25 	29 	16 	15 	27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,LU	79 	85 	77 	74 	57 	47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,LV	10 	10 	11 b	15 	11 	4 	17 	72 	15 	17 	15 	66 	29 	18 	: 	: 
Y16,TOTAL,NR,M,ME	: 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,MK	: 	1 	1 	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,MT	33 	29 	23 	29 	17 	25 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,NL	525 	449 	510 	560 	571 b	524 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,NO	364 	365 	314 	424 	369 	273 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,PL	635 	693 	561 	391 	340 b	104 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,PT	143 	96 	237 	131 	153 	141 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,RO	473 	536 	441 	421 	389 	517 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,SE	1194 	1240 	1133 	934 	946 	811 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,SI	76 	79 	71 	53 	83 	100 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,SK	: 	: b	10 b	34 	37 	51 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,M,UK	3023 	984 	2832 	1485 	1579 	3333 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,AT	883 	901 	706 	586 	729 	730 	724 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,BE	1092 	1793 	1537 	1430 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,BG	94 p	77 bp	: 	: 	: 	13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,CH	1236 	1157 	1071 b	1356 	1307 	1488 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,CY	25 	145 	155 	470 	114 	85 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,CZ	155 	193 	168 	265 	354 	350 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,DE	6421 	5522 	4517 	4025 	3321 b	4728 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,DK	503 	505 	494 	536 	484 	502 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,EE	21 	11 	19 	19 	16 	17 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,EL	464 	465 	481 	491 	551 	753 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,ES	3626 	3938 	4660 	4617 	5618 	8159 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,FI	248 	272 	245 	219 	260 	219 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,FR	3190 	3764 	3174 	2997 b	2793 	2627 	2426 	2830 b	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,HR	91 	74 	102 b	: 	: 	151 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,HU	249 	241 	184 	232 b	193 	287 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,IE	352 p	358 	388 	398 	689 	1035 	1283 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,IS	81 	52 	45 	42 	44 b	81 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,IT	2953 	3317 	3561 	4320 	4980 p	5858 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,LI	2 	8 	6 	2 	6 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,LT	64 	51 	43 	22 	39 	58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,LU	145 	158 	146 	129 	107 	87 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,LV	17 	13 	20 b	35 	26 	24 	40 	129 	45 	37 	33 	123 	54 	46 	: 	: 
Y16,TOTAL,NR,T,ME	: 	20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,MK	: 	2 	4 	: 	: 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,MT	53 	46 	45 	57 	31 	36 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,NL	1017 	918 	980 	1038 	1038 b	998 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,NO	657 	651 	614 	710 	622 	471 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,PL	1247 	1317 	1009 	770 	707 b	211 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,PT	291 	191 	368 	328 	384 	353 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,RO	926 	1074 	941 	845 	767 	948 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,SE	2110 	1899 	1670 	1477 	1598 	1366 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,SI	131 	126 	122 	96 	141 	156 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,SK	: 	: b	13 b	63 	85 	99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,TOTAL,NR,T,UK	4497 	3077 	4865 	3628 	3369 	7104 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,AT	0 	0 	1 	0 	0 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,BE	0 	5 	2 	4 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,BG	1 	0 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,CH	1 	1 	0 b	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,CY	0 	0 	0 	0 	: 	13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,CZ	0 	: 	: 	: 	0 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,DE	13 	4 	1 	7 	8 b	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,DK	0 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,EE	0 	0 	: 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,EL	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,ES	0 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,FI	2 	0 	1 	0 	0 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,FR	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,HR	0 	0 	0 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,HU	0 	0 	1 	0 b	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,IE	0 p	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,IS	0 	0 	0 	: 	: b	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,IT	0 	0 	0 	0 	0 p	0 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,LI	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,LT	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,LU	0 	0 	1 	0 	0 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,LV	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,ME	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,MK	: 	0 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,MT	0 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,NL	0 	39 	70 	90 	68 b	48 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,NO	0 	0 	: 	: 	: 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,PL	0 	0 	0 	0 	0 b	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,PT	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,RO	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,SE	8 	4 	4 	8 	2 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,SI	0 	: 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,SK	: 	: b	0 b	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,F,UK	0 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,AT	0 	0 	0 	0 	1 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,BE	0 	7 	8 	6 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,BG	0 	0 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,CH	0 	0 	0 b	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,CY	0 	0 	0 	0 	: 	29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,CZ	0 	: 	: 	: 	0 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,DE	41 	22 	19 	26 	29 b	22 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,DK	0 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,EE	0 	0 	: 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,EL	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,ES	0 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,FI	1 	1 	0 	1 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,FR	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,HR	0 	0 	0 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,HU	0 	0 	0 	0 b	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,IE	0 p	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,IS	0 	0 	0 	: 	: b	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,IT	0 	0 	0 	0 	0 p	0 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,LI	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,LT	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,LU	1 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,LV	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,ME	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,MK	: 	0 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,MT	0 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,NL	0 	56 	128 	185 	141 b	61 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,NO	0 	0 	: 	: 	1 	2 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,PL	0 	1 	0 	0 	0 b	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,PT	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,RO	1 	0 	0 	0 	0 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,SE	9 	5 	6 	3 	7 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,SI	0 	: 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,SK	: 	: b	0 b	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,M,UK	0 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,AT	0 	0 	1 	0 	1 	2 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,BE	0 	12 	10 	10 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,BG	1 	0 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,CH	1 	1 	0 b	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,CY	0 	0 	0 	0 	: 	42 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,CZ	0 	: 	: 	: 	0 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,DE	54 	26 	20 	33 	37 b	31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,DK	0 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,EE	0 	0 	: 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,EL	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,ES	0 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,FI	3 	1 	1 	1 	0 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,FR	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,HR	0 	0 	0 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,HU	0 	0 	1 	0 b	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,IE	0 p	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,IS	0 	0 	0 	: 	: b	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,IT	0 	0 	0 	0 	0 p	0 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,LI	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,LT	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,LU	1 	0 	1 	0 	0 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,LV	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,ME	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,MK	: 	0 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,MT	0 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,NL	0 	95 	198 	275 	209 b	109 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,NO	0 	0 	: 	: 	1 	2 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,PL	0 	1 	0 	0 	0 b	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,PT	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,RO	1 	0 	0 	0 	0 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
